ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009925	basal plasma membrane	7/100	301/28573	9.31254269902315e-05	0.0106978912708919	0.00913474705501262	Slc40a1/Aqp8/Dlg2/Hspa1a/Itga9/Slc14a2/Slc12a6	7
GO:0045178	basal part of cell	7/100	325/28573	0.000149620856935552	0.0106978912708919	0.00913474705501262	Slc40a1/Aqp8/Dlg2/Hspa1a/Itga9/Slc14a2/Slc12a6	7
GO:0016323	basolateral plasma membrane	6/100	267/28573	0.00036013245259591	0.0171663135737384	0.0146580226319739	Slc40a1/Aqp8/Dlg2/Hspa1a/Slc14a2/Slc12a6	6
GO:0042613	MHC class II protein complex	2/100	13/28573	0.000922382306701501	0.0329751674645787	0.0281569335729932	H2-Ab1/H2-Eb1	2
