gene,fold.change,p.adjvalue,rank,pvalue
Atp8a1,-0.083221132,0.584883481,-4.72E-01,0.337177895
Atp8a2,-0.034543512,0.85532694,-1.59E-01,0.692818718
Atp8b1,0.286897771,0.000441571,4.78E+00,1.67E-05
Atp8b2,-0.228462164,0.13916765,-1.48E+00,0.033342933
Atp8b3,-0.064178069,1,-6.46E-01,0.226152949
Atp8b4,0.003970737,1,6.12E-02,0.868516488
Atp8b5,-0.030437568,0.843753261,-1.72E-01,0.672910346
Atp9a,0.158122161,0.133680781,1.50E+00,0.031318966
Atp9b,-0.104786742,0.424943983,-7.12E-01,0.194307441
Atpaf1,-0.216321353,0.147378215,-1.44E+00,0.036382842
Atpaf2,0.107151782,0.387315759,7.80E-01,0.166073361
Atpsckmt,0.132035734,0.371670259,8.08E-01,0.155587111
Atr,-0.193638976,0.12194954,-1.57E+00,0.027164203
Atraid,0.012116526,0.949791049,5.06E-02,0.889985122
Atrip,0,1,0.00E+00,
Atrn,0.16349874,0.15853671,1.39E+00,0.040592909
Atrnl1,0.078067359,0.608204476,4.42E-01,0.361594504
Atrx,-0.045686262,0.734502255,-2.91E-01,0.511605059
Atxn1,0.28006058,0.059826923,2.00E+00,0.009975319
Atxn10,-0.228086452,0.047761976,-2.14E+00,0.007238779
Atxn1l,0.430077175,0.000184988,5.23E+00,5.94E-06
Atxn2,0.012193934,0.934250943,6.76E-02,0.855876368
Atxn2l,0.065471065,0.564986739,4.98E-01,0.317421539
Atxn3,0.223320936,0.072385633,1.89E+00,0.012996557
Atxn7,0.061319535,0.694958492,3.37E-01,0.460451126
Atxn7l1,-0.028603832,0.870951975,-1.42E-01,0.721761898
Atxn7l1os2,-0.049859805,1,-4.62E-01,0.344961544
Atxn7l2,-0.140161359,0.347636192,-8.59E-01,0.138382264
Atxn7l3,-0.009112362,0.951141019,-4.89E-02,0.89346601
Atxn7l3b,0.262243919,0.007370118,3.24E+00,0.000569537
Auh,0.228779538,0.05658757,2.03E+00,0.009250043
Aunip,-0.302398242,0.058575406,-2.01E+00,0.009664697
Aup1,0.067837908,0.591281092,4.64E-01,0.343494148
Aurka,0.184017858,0.158851621,1.39E+00,0.040741393
Aurkaip1,-0.169562629,0.156398059,-1.40E+00,0.039858367
Aurkb,0.100058854,0.492341188,6.02E-01,0.249998814
Aurkc,-0.075521719,1,-9.32E-01,0.11704983
Auts2,-0.09619164,0.392543447,-7.69E-01,0.170304966
Aven,-0.141837244,0.287401635,-9.89E-01,0.102552897
Avil,-0.091102296,0.573404276,-4.88E-01,0.325338369
Avl9,0.344252956,0.000369642,4.87E+00,1.34E-05
Avp,-0.19452384,1,-1.91E+00,0.012231805
Avpi1,-1.059381376,1.12E-07,-8.89E+00,1.30E-09
Avpr1a,0.021395485,1,4.17E-01,0.38242748
Avpr1b,0.069852367,0.653386985,3.84E-01,0.412947823
Avpr2,0.027047969,1,2.72E-01,0.534370112
Awat1,0,1,0.00E+00,
Awat2,-0.032709382,0.866865218,-1.46E-01,0.714300802
Axdnd1,0.000904797,0.995303674,4.40E-03,0.989922915
Axin1,0.051305078,0.70111345,3.30E-01,0.46775064
Axin2,0.068742112,0.644273814,3.94E-01,0.403243864
Axl,0.029851525,0.865143965,1.48E-01,0.711800109
Aym1,0,1,0.00E+00,
Azgp1,-0.002241456,1,-1.82E-02,0.958944383
Azi2,0.089482482,0.442190331,6.82E-01,0.207888562
Azin1,-0.444460052,1.09E-06,-7.78E+00,1.65E-08
Azin2,-0.00455838,0.978067863,-2.02E-02,0.954553187
B020004C17Rik,0,1,0.00E+00,
B020011L13Rik,0,1,0.00E+00,
B020014A21Rik,0,1,0.00E+00,
B020018J22Rik,0,1,0.00E+00,
B130006D01Rik,0.009322454,1,1.87E-01,0.650603056
B130024G19Rik,-0.013484724,1,-1.51E-01,0.706744887
B130034C11Rik,0.056208902,0.737674934,2.88E-01,0.5156222
B130055M24Rik,-0.120869121,0.452208577,-6.68E-01,0.214833705
B230110C06Rik,0,1,0.00E+00,
B230110G15Rik,0,1,0.00E+00,
B230112J18Rik,0,1,0.00E+00,
B230118I11Rik,0.038405293,1,3.15E-01,0.483905205
B230119M05Rik,0,1,0.00E+00,
B230206H07Rik,-0.199136955,0.179179508,-1.31E+00,0.04907353
B230206L02Rik,-0.114366744,0.439642316,-6.86E-01,0.205986688
B230208B08Rik,0,1,0.00E+00,
B230208H11Rik,0.000465323,1,2.58E-03,0.994075298
B230209E15Rik,0,1,0.00E+00,
B230214G05Rik,-0.008680944,1,-1.75E-01,0.6688176
B230216N24Rik,0,1,0.00E+00,
B230217C12Rik,-0.697070547,0.012167301,-2.96E+00,0.001091025
B230217O12Rik,0.042643523,0.782601771,2.38E-01,0.578013508
B230219D22Rik,0.261568313,0.036440669,2.31E+00,0.004892324
B230220B15Rik,-0.009095885,1,-1.84E-01,0.654556506
