gene,fold.change,p.adjvalue,rank,pvalue
Dhx37,0.008439647,0.984087759,1.95E-01,0.637810948
Dhx38,0.005008667,0.990922016,1.53E-01,0.703636887
Dhx40,0.002952944,0.998960885,8.44E-02,0.823470319
Dhx57,-0.005042368,0.993240909,-1.35E-01,0.7334551
Dhx58,-0.015290144,0.971265343,-2.92E-01,0.510608412
Dhx8,0.009341706,0.97536803,2.59E-01,0.551397544
Dhx9,0.0054397,0.990922016,1.56E-01,0.697746689
Diablo,-0.004364578,0.996039745,-1.04E-01,0.786453314
Diaph1,0.002865149,0.998960885,8.59E-02,0.820629832
Diaph2,0.001996913,0.999774489,3.65E-02,0.919403653
Diaph3,0.035444262,0.89579861,5.61E-01,0.274621397
Dicer1,-0.005734358,0.990922016,-1.60E-01,0.691054942
Dido1,-0.005383114,0.99480328,-1.20E-01,0.757930251
Dimt1,-0.02822753,0.93038627,-4.62E-01,0.344992775
Dio1,0.007094958,0.998960885,7.40E-02,0.84329192
Dio2,0.011568783,1,2.16E-01,0.60782165
Dio3,0,1,0.00E+00,
Dio3os,0.009764001,1,3.97E-01,0.401045512
Dip2a,-0.028101866,0.915070777,-4.97E-01,0.318747817
Dip2b,0.018446914,0.938969072,4.41E-01,0.362536458
Dip2c,0.760695634,0.013146847,3.70E+00,0.000199411
Dipk1a,-0.066244813,0.684514488,-9.82E-01,0.104250929
Dipk1b,-0.055126255,0.835777678,-6.99E-01,0.200058764
Dipk1c,0,1,0.00E+00,
Dipk2a,-0.003163888,0.999070304,-6.75E-02,0.856026096
Dipk2b,0.003525099,1,1.08E-01,0.779189243
Diras1,0,1,0.00E+00,
Diras2,0.072804695,0.717617116,9.16E-01,0.121297354
Dis3,0.002934026,0.999070304,6.37E-02,0.86362237
Dis3l,-0.010907815,0.977174834,-2.46E-01,0.567114598
Dis3l2,-0.024121902,0.924420567,-4.77E-01,0.333324489
Disc1,0.083764504,0.670950987,1.01E+00,0.09871631
Discn,0,1,0.00E+00,
Disp1,-0.005589361,0.995140679,-1.10E-01,0.77650623
Disp2,-0.004154834,0.999774489,-5.03E-02,0.890705598
Disp3,0,1,0.00E+00,
Dixdc1,0.033491705,1,5.00E-01,0.315925136
Dkc1,-0.041758018,0.829190313,-7.09E-01,0.195322796
Dkk1,0,1,0.00E+00,
Dkk2,0.00083125,1,1.84E-02,0.958618859
Dkk3,-0.039063457,0.901871582,-5.46E-01,0.284154483
Dkk4,0,1,0.00E+00,
Dkkl1,-0.151977841,0.477607448,-1.33E+00,0.046797888
Dlat,0.001815916,0.999774489,4.04E-02,0.911152019
Dlc1,0.237000962,0.290074203,1.71E+00,0.019418727
Dld,0.004577514,0.994300452,1.22E-01,0.755540731
Dlec1,-0.027694134,0.963904875,-3.46E-01,0.45085148
Dleu2,0.007379857,0.994904172,1.14E-01,0.769881837
Dleu7,0.013593524,1,5.27E-01,0.296948788
Dlg1,0.000464663,0.999774489,1.23E-02,0.972148338
Dlg2,0.022798179,1,3.81E-01,0.416311503
Dlg3,-0.043494699,0.861657432,-6.51E-01,0.22349126
Dlg4,0.018024142,0.960841506,3.54E-01,0.44244335
Dlg5,0.003624099,0.999774489,4.54E-02,0.900701857
Dlgap1,-0.003576318,0.999774489,-4.09E-02,0.910223708
Dlgap2,-0.00492891,1,-1.44E-01,0.717942021
Dlgap3,0.034686813,1,5.15E-01,0.305699766
Dlgap4,0.000669643,0.999774489,1.80E-02,0.959429741
Dlgap5,-0.076685626,0.734947655,-8.75E-01,0.133455322
Dlk1,0.009645532,1,1.40E-01,0.724062665
Dlk2,0.003245464,1,8.10E-02,0.829809009
Dll1,0.388676594,0.152447392,2.18E+00,0.006546701
Dll3,-0.007515207,1,-1.48E-01,0.711443877
