gene,fold.change,p.adjvalue,rank,pvalue
Prpf39,-0.007100991,0.977860214,-2.84E-02,0.936684198
Prpf4,-0.079563649,0.714743643,-4.05E-01,0.393336433
Prpf40a,-0.099245167,0.650797703,-5.30E-01,0.29491306
Prpf40b,0.011769632,0.960908601,4.76E-02,0.896103648
Prpf4b,-0.09100366,0.677472245,-4.78E-01,0.332923893
Prpf6,-0.052356797,0.812849672,-2.45E-01,0.569359818
Prpf8,-0.089294017,0.65871828,-5.14E-01,0.306452546
Prph,0.799364603,0.078890035,3.04E+00,0.00092016
Prph2,0,1,0.00E+00,
Prps1,-0.056973424,0.796042131,-2.72E-01,0.534412538
Prps1l1,0,1,0.00E+00,
Prps1l3,0,1,0.00E+00,
Prps2,-0.100733211,0.560627056,-7.56E-01,0.175436106
Prpsap1,-0.05672192,0.796612044,-2.70E-01,0.536925427
Prpsap2,0.055683989,0.791568915,2.78E-01,0.526934086
Prr11,0.068130166,0.718588935,3.98E-01,0.400242319
Prr12,-0.044990563,0.828981093,-2.24E-01,0.596429168
Prr13,-0.05659667,0.795193912,-2.74E-01,0.532315935
Prr14,0.093690205,0.668531271,4.93E-01,0.321001286
Prr14l,-0.125788861,0.571377278,-7.22E-01,0.189638944
Prr15,-0.026075106,0.902492052,-1.23E-01,0.752866023
Prr15l,-0.166316826,0.485210874,-9.81E-01,0.104396585
Prr16,0.038029316,0.787554301,2.86E-01,0.518037072
Prr18,0.17124513,0.356489031,1.41E+00,0.038677782
Prr19,0.02375832,0.796612044,2.70E-01,0.537405055
Prr22,0.168420403,0.382658029,1.30E+00,0.049704297
Prr23a1,0,1,0.00E+00,
Prr23a2,0,1,0.00E+00,
Prr23a3,0,1,0.00E+00,
Prr23a4,0,1,0.00E+00,
Prr27,0,1,0.00E+00,
Prr29,-0.007207589,1,-9.08E-02,0.811321563
Prr3,0.098827606,0.623391136,5.95E-01,0.254113302
Prr30,0,1,0.00E+00,
Prr32,0,1,0.00E+00,
