gene,fold.change,p.adjvalue,rank,pvalue
Tm2d1,-0.112367345,0.565574829,-0.641419184,0.228339379
Tm2d2,-0.068433053,0.754399569,-0.355983077,0.440572031
Tm2d3,-0.020991808,0.937022437,-0.09175799,0.809546893
Tm4sf1,-0.005745027,0.983609806,-0.025096155,0.94385188
Tm4sf19,0.133322676,0.570545021,0.631774428,0.233467037
Tm4sf20,1.104603802,0.005930608,3.572178075,0.000267807
Tm4sf4,0.512645391,0.103134061,1.895511489,0.012720041
Tm4sf5,0.251322101,0.309464526,1.139343488,0.07255319
Tm6sf1,0.096156406,0.605352119,0.580258286,0.262870417
Tm6sf2,0.324347791,0.22232901,1.385893825,0.041125025
Tm7sf2,0.025278074,0.925019996,0.108227217,0.779422221
Tm7sf3,-0.053231409,0.816655467,-0.26227123,0.546674442
Tm9sf1,0.194384949,0.251545519,1.2975865,0.050398023
Tm9sf2,0.104971229,0.550745359,0.667989604,0.214788189
Tm9sf3,0.103434303,0.555046258,0.659174134,0.219192589
Tm9sf4,0.042310785,0.856852078,0.206427731,0.621687692
Tm9sf5,-0.054324236,1,-0.677609395,0.210082852
Tma16,-0.060854799,0.793798266,-0.299216962,0.502091695
Tma7,-0.063140025,0.765931799,-0.339952982,0.457137678
Tma7-ps,-0.053624584,1,-0.35413268,0.442453179
Tmbim1,0.175327568,0.366850876,1.01239526,0.097186231
Tmbim4,-0.020623532,0.936543459,-0.092192584,0.808737193
Tmbim6,0.060520462,0.769900296,0.333333334,0.464158883
Tmbim7,0.020414792,1,0.260718738,0.54863216
Tmc1,0.009808985,0.972056514,0.043548252,0.904589929
Tmc2,0,1,0,
Tmc3,0.118314235,0.542373289,0.68069271,0.208596631
Tmc4,0.187893978,0.329369108,1.09110699,0.08107613
Tmc5,0.394498243,0.15737803,1.626955245,0.023607215
